PR_Number,Time_to_Review,Comments,Review_Comments,Changed_Files,Additions,Deletions,Total_Changes,Is_Merged,User_Type,CI_Status,Replicated_Code,Wont_Fix,Superseded
12886,3859.5646503627777,1,0,1,1,1,2,False,regular,pending,False,False,False
12885,847.0105555555556,8,10,3,41,0,41,True,regular,pending,False,False,False
12882,3882.6929627466666,5,0,1,11,2,13,False,regular,pending,False,False,False
12881,29.193055555555556,2,7,10,434,162,596,True,regular,pending,False,False,False
12880,128.3763888888889,5,0,28,61,61,122,True,regular,pending,False,False,False
12879,754.9113888888888,4,12,2,68,14,82,True,regular,pending,False,False,False
12878,19.926111111111112,1,1,6,63,19,82,True,regular,pending,False,False,False
12876,65.83055555555555,3,2,2,38,46,84,True,regular,pending,False,False,False
12875,334.32472222222225,6,2,6,69,31,100,True,regular,pending,False,False,False
12874,864.185,1,2,3,30,145,175,True,regular,pending,False,False,False
12873,42.422222222222224,15,3,23,513,329,842,True,regular,pending,False,False,False
12872,3957.5023761469447,9,24,4,90,8,98,False,regular,pending,False,False,False
12870,147.82555555555555,1,0,2,17,15,32,True,regular,pending,False,False,False
12869,3999.6940713630556,1,0,3,27,19,46,False,regular,pending,False,False,False
